ㄙㄚ sā ⠑⠜⠄ n8 sa1 e>'
ㄙㄜ sē ⠑⠮⠄ nk se1 e!'
ㄙㄞ sāi ⠑⠺⠄ n9 sai1 ew'
ㄙㄟ sēi ⠑⠴⠄ no sei1 e0'
ㄙㄠ sāo ⠑⠩⠄ nl sao1 e%'
ㄙㄡ sōu ⠑⠷⠄ n. sou1 e('
ㄙㄢ sān ⠑⠧⠄ n0 san1 ev'
ㄙㄣ sēn ⠑⠥⠄ np sen1 eu'
ㄙㄤ sāng ⠑⠭⠄ n; sang1 ex'
ㄙㄥ sēng ⠑⠵⠄ n/ seng1 ez'
ㄙㄨ sū ⠑⠌⠄ nj su1 e/'
ㄙㄨㄛ suō ⠑⠒⠄ nji suo1 e3'
ㄙㄨㄟ suī ⠑⠫⠄ njo sui1 e$'
ㄙㄨㄢ suān ⠑⠻⠄ nj0 suan1 e]'
ㄙㄨㄣ sūn ⠑⠿⠄ njp sun1 e='
ㄙㄨㄥ sōng ⠑⠯⠄ nj/ song1 e&'
ㄚ ā ⠜⠄ 8 a1 >'
ㄛ ō ⠣⠄ i o1 <'
ㄜ ē ⠮⠄ k e1 !'
ㄝ ê ⠢⠄ , ea1 5'
ㄞ āi ⠺⠄ 9 ai1 w'
ㄟ ēi ⠴⠄ o ei1 0'
ㄠ āo ⠩⠄ l ao1 %'
ㄡ ōu ⠷⠄ . ou1 ('
ㄢ ān ⠧⠄ 0 an1 v'
ㄣ ēn ⠥⠄ p en1 u'
ㄤ āng ⠭⠄ ; ang1 x'
ㄥ ēng ⠵⠄ / eng1 z'
ㄦ ēr ⠱⠄ - er1 :'
ㄧ yī ⠡⠄ u yi1 *'
ㄧㄚ yā ⠾⠄ u8 ya1 )'
ㄧㄛ yō ⠴⠄ ui yo1 0'
ㄧㄝ yē ⠬⠄ u, ye1 +'
ㄧㄞ yāi ⠢⠄ u9 yai1 5'
ㄧㄠ yāo ⠪⠄ ul yao1 ['
ㄧㄡ yōu ⠎⠄ u. you1 s'
ㄧㄢ yān ⠞⠄ u0 yan1 t'
ㄧㄣ yīn ⠹⠄ up yin1 ?'
ㄧㄤ yāng ⠨⠄ u; yang1 .'
ㄧㄥ yīng ⠽⠄ u/ ying1 y'
ㄨ wū ⠌⠄ j wu1 /'
ㄨㄚ wā ⠔⠄ j8 wa1 9'
ㄨㄛ wō ⠒⠄ ji wo1 3'
ㄨㄞ wāi ⠶⠄ j9 wai1 7'
ㄨㄟ wēi ⠫⠄ jo wei1 $'
ㄨㄢ wān ⠻⠄ j0 wan1 ]'
ㄨㄣ wēn ⠿⠄ jp wen1 ='
ㄨㄤ wāng ⠸⠄ j; wang1 _'
ㄨㄥ wēng ⠯⠄ j/ weng1 &'
ㄩ yū ⠳⠄ m yu1 \'
